"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_6_month","GO","GO:0004363",1,889,6,35149,0.142485446086207,1
"18_month_vs_6_month","GO","GO:0005319",1,889,6,35149,0.142485446086207,1
"18_month_vs_6_month","GO","GO:0006094",1,889,6,35149,0.142485446086207,1
"18_month_vs_6_month","GO","GO:0008569",1,889,6,35149,0.142485446086207,1
"18_month_vs_6_month","GO","GO:0016638",1,889,6,35149,0.142485446086207,1
"18_month_vs_6_month","GO","GO:0003774",2,889,27,35149,0.148397069247795,1
"18_month_vs_6_month","GO","GO:0009307",2,889,27,35149,0.148397069247795,1
"18_month_vs_6_month","GO","GO:0006888",3,889,53,35149,0.150173921336444,1
"18_month_vs_6_month","GO","GO:0030246",3,889,53,35149,0.150173921336444,1
"18_month_vs_6_month","GO","GO:0006869",3,889,54,35149,0.156211489194036,1
"18_month_vs_6_month","GO","GO:0007018",2,889,28,35149,0.15727143665446,1
"18_month_vs_6_month","GO","GO:0019867",2,889,28,35149,0.15727143665446,1
"18_month_vs_6_month","GO","GO:0004315",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0005823",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0019441",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0030133",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0030286",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0031083",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0044650",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0060090",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0097367",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:1901135",1,889,7,35149,0.164177687455167,1
"18_month_vs_6_month","GO","GO:0015074",2,889,29,35149,0.16624205634954,1
"18_month_vs_6_month","GO","GO:0003950",2,889,30,35149,0.175298399394436,1
"18_month_vs_6_month","GO","GO:0004620",1,889,8,35149,0.185321789551017,1
"18_month_vs_6_month","GO","GO:0005876",1,889,8,35149,0.185321789551017,1
"18_month_vs_6_month","GO","GO:0046872",14,889,430,35149,0.203648288503201,1
"18_month_vs_6_month","GO","GO:0004499",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0006480",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0017056",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0030436",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0034227",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0051216",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0106370",1,889,9,35149,0.205931588051035,1
"18_month_vs_6_month","GO","GO:0004930",10,889,295,35149,0.216162630040864,1
"18_month_vs_6_month","GO","GO:0005740",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0006750",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0015267",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0015886",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0016818",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0017154",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0046740",1,889,10,35149,0.226020569787593,1
"18_month_vs_6_month","GO","GO:0004984",2,889,36,35149,0.230904143826833,1
"18_month_vs_6_month","GO","GO:0004402",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0005537",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0007041",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0007218",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0008982",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0016010",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0017004",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0046332",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0046976",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0051539",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0070005",1,889,11,35149,0.245601881534052,1
"18_month_vs_6_month","GO","GO:0003724",3,889,70,35149,0.260608242754018,1
"18_month_vs_6_month","GO","GO:0000439",1,889,12,35149,0.264688338569632,1
"18_month_vs_6_month","GO","GO:0030474",1,889,12,35149,0.264688338569632,1
"18_month_vs_6_month","GO","GO:0031151",1,889,12,35149,0.264688338569632,1
"18_month_vs_6_month","GO","GO:0007275",2,889,40,35149,0.268575306702805,1
"18_month_vs_6_month","GO","GO:0030001",3,889,72,35149,0.274329172478145,1
"18_month_vs_6_month","GO","GO:0006123",1,889,13,35149,0.283292433028795,1
"18_month_vs_6_month","GO","GO:0070823",1,889,13,35149,0.283292433028795,1
"18_month_vs_6_month","GO","GO:0005164",1,889,14,35149,0.301426342040561,1
"18_month_vs_6_month","GO","GO:0009312",1,889,14,35149,0.301426342040561,1
"18_month_vs_6_month","GO","GO:0004553",4,889,110,35149,0.303372154634646,1
"18_month_vs_6_month","GO","GO:0004721",2,889,44,35149,0.306211812098651,1
"18_month_vs_6_month","GO","GO:0000166",4,889,111,35149,0.309076684000411,1
