direction,top_pfam_name,gene_count
Up,7tm_1,97
Up,Pkinase,82
Up,Ank_2,61
Up,zf-H2C2_2,52
Up,MFS_1,45
Up,PK_Tyr_Ser-Thr,42
Up,RVT_1,37
Up,fn3,35
Up,p450,35
Up,Ras,29
Up,C2,26
Up,PDZ,25
Up,ANF_receptor,23
Up,Ig_3,21
Up,Ion_trans,20
Up,LRR_8,20
Up,Beta-prop_WDR5,19
Up,BTB,19
Up,Lectin_C,18
Up,RRM_1,18
Up,RabGAP-TBC,18
Up,Y_phosphatase,18
Up,Neur_chan_LBD,17
Up,adh_short,16
Up,SNF,16
Up,CUB,16
Up,Ldl_recept_a,16
Up,DEAD,15
Up,ABC_tran,15
Up,Lig_chan,14
Up,Spectrin,14
Up,Mito_carr,14
Up,Cadherin,14
Up,BIR,13
Up,Helicase_C,13
Up,EF-hand_7,12
Up,7TM_GPCR_Srw,12
Up,Neur_chan_memb,12
Up,VWA,12
Up,Guanylate_cyc,12
Up,zf-B_box,12
Up,Myosin_head,12
Up,Collagen,12
Up,AA_permease_2,11
Up,DnaJ,11
Up,COesterase,11
Up,CH,11
Up,Beta-prop_THOC3,11
Up,Adaptin_N,10
Up,MIB_HERC2,10
Up,Oxysterol_BP,10
Up,Tetraspanin,10
Up,Laminin_G_2,10
Up,UCH,10
Up,I-set,10
Up,RhoGAP,10
Up,FERM_M,10
Up,Homeodomain,10
Up,Sugar_tr,9
Up,BACK,9
Up,UQ_con,9
Up,Fibrinogen_C,9
Up,7tm_2,9
Up,HMG_box,9
Up,Glyco_hydro_20,9
Up,LRR_14,9
Up,RhoGEF,9
Up,Peptidase_S10,9
Up,PH,9
Up,zf-C4,9
Up,Thioredoxin,8
Up,HSP70,8
Up,AMP-binding,8
Up,Cpn60_TCP1,8
Up,C1_1,8
Up,Aldedh,8
Up,Beta-prop_WDR3_1st,8
Up,ABC_membrane,8
Up,SNF2-rel_dom,8
Up,Hormone_recep,8
Up,Fz,8
Up,Lig_chan-Glu_bd,8
Up,WD40_RLD,8
Up,F5_F8_type_C_2,7
Up,EMP70,7
Up,GTP_EFTU,7
Up,ASC,7
Up,Glyco_transf_92,7
Up,Trypsin,7
Up,Glyco_hydro_38N,7
Up,Kinesin,7
Up,Arrestin_N,7
Up,Metallophos,7
Up,Sushi,7
Up,Ephrin_rec_like,7
Up,ThiF,7
Up,AAA,7
Up,UNC-93,7
Up,LicD,7
Up,Abhydrolase_3,7
Up,WW,7
Up,ABC2_membrane_3,7
Up,DUF229,7
Up,WD40_Prp19,7
Up,TUDOR,7
Up,EGF_CA,7
Up,LIM,7
Up,Glycos_transf_2,7
Up,Exo_endo_phos_2,7
Up,CIMR,7
Up,Macro,7
Up,Aminotran_3,6
Up,ubiquitin,6
Up,tRNA-synt_1,6
Up,SH3_1,6
Up,Vinculin,6
Up,Pyr_redox_2,6
Up,Acyl-CoA_dh_N,6
Up,PARP,6
Up,Astacin,6
Up,Carboxyl_trans,6
Up,TSP1_ADAMTS,6
Up,An_peroxidase,6
Up,Kelch_KLHDC2_KLHL20_DRC7,6
Up,Sulfotransfer_1,6
Up,DAO,6
Up,Usp,6
Up,Beta-lactamase,6
Up,Sulfatase,6
Up,Peptidase_M10,6
Up,Innexin,6
Up,IBR,6
Up,Aminotran_1_2,6
Up,PP2C,6
Up,7tm_3,6
Up,SH2,6
Up,DHHC,6
Up,RasGEF,6
Up,EGF_TEN,6
Up,HYR,6
Up,Arf,6
Up,SAM_1,6
Up,DUF6451,6
Up,Cation_ATPase,5
Up,Cu_amine_oxid,5
Up,Tubulin,5
Up,TPR_12,5
Up,Filament,5
Up,PID,5
Up,Peptidase_M1,5
Up,Cullin,5
Up,ATP-gua_PtransN,5
Up,Beta-prop_IFT122_1st,5
Up,Aa_trans,5
Up,Myotub-related,5
Up,Galactosyl_T,5
Up,Gelsolin,5
Up,Cation_efflux,5
Up,AIG1,5
Up,Abhydrolase_1,5
Up,PX,5
Up,PAS_11,5
Up,UBA_4,5
Up,HECT,5
Up,Bromodomain,5
Up,zf-C3HC4_3,5
Up,Peptidase_S8,5
Up,Anoctamin,5
Up,HLH,5
Up,DUF8401,5
Up,F-box-like,5
Up,GDP_Man_Dehyd,5
Up,SH3_9,5
Up,Peptidase_M13_N,5
Up,Exo_endo_phos,5
Up,Thiolase_N,5
Up,Peptidase_C14,5
Up,Cu2_monoox_C,5
Up,G-alpha,5
Up,EGF,5
Up,Na_H_Exchanger,5
Up,Zip,5
Up,DUF885,4
Up,NHL,4
Up,CPSase_L_D2,4
Up,Peptidase_C2,4
Up,CNH,4
Up,Alpha-amylase,4
Up,Pyridoxal_deC,4
Up,Adap_comp_sub,4
Up,Peptidase_M2,4
Up,Cys_rich_FGFR,4
Up,Band_7,4
Up,FAD_binding_2,4
Up,MFS_1_like,4
Up,SSF,4
Up,Hydrolase,4
Up,CAP_GLY,4
Up,Carb_anhydrase,4
Up,JAB,4
Up,TRP_2,4
Up,Peptidase_S9,4
Up,Filamin,4
Up,HNOBA,4
Up,HlyIII,4
Up,Carn_acyltransf,4
Up,Claudin_2,4
Up,Laminin_B,4
Up,Nuc_sug_transp,4
Up,Patatin,4
Up,Glyco_hydro_35,4
Up,zf-RING_2,4
Up,DSPc,4
Up,PI3_PI4_kinase,4
Up,IBN_N,4
Up,G_glu_transpept,4
Up,Frizzled,4
Up,Hist_deacetyl,4
Up,ArfGap,4
Up,Glyco_transf_8,4
Up,Ldl_recept_b,4
Up,Forkhead,4
Up,Sulfate_transp,4
Up,zf-MYND,4
Up,Amino_oxidase,4
Up,AA_permease,4
Up,MAM,4
Up,H_lectin,4
Up,ABC2_membrane,4
Up,RBP_receptor,4
Up,Glyco_hydro_18,4
Up,Death,4
Up,dsrm,4
Up,Peptidase_M14,4
Up,A2M_BRD,4
Up,OATP,4
Up,PB1,4
Up,SPRY,4
Up,PLAT,4
Up,PIP5K,4
Up,Serpin,4
Up,adh_short_C2,4
Up,BLTP1_C,4
Up,FAT,4
Up,KH_1,4
Up,CCDC39,4
Up,CBM_14,4
Up,Lactamase_B_6,4
Up,Extensin_1,4
Up,WHD_UBR1,4
Up,UNC80_C,4
Up,YVC1_C,4
Up,cNMP_binding,4
Up,Hydrolase_6,4
Up,VIT,3
Up,HSP90,3
Up,ETX_MTX2,3
Up,GDI,3
Up,PK,3
Up,IF-2B,3
Up,Fasciclin,3
Up,Sema,3
Up,Beta-prop_FAM234A_B,3
Up,Bcl-2,3
Up,Melibiase_2,3
Up,Iso_dh,3
Up,Glyco_hydro_31_2nd,3
Up,B56,3
Up,Gal-bind_lectin,3
Up,tRNA-synt_2b,3
Up,DNA_photolyase,3
Up,RtcB,3
Up,Kringle,3
Up,TPR_16,3
Up,ELH,3
Up,TIR,3
Up,Aconitase,3
Up,E3_UbLigase_R4,3
Up,SapB_2,3
Up,Pur_ac_phosph_N,3
Up,Glyco_hydro_15,3
Up,Scramblase,3
Up,Biopterin_H,3
Up,Ctr,3
Up,EGF_laminin,3
Up,Xan_ur_permease,3
Up,PDEase_I,3
Up,MARVEL,3
Up,E1_dh,3
Up,DAGK_cat,3
Up,Sel1,3
Up,Alpha_L_fucos,3
Up,EMP24_GP25L,3
Up,Copine,3
Up,EH,3
Up,Neuralized,3
Up,Peptidase_M1_N,3
Up,ApeC,3
Up,GMC_oxred_N,3
Up,Glyco_hydro_38C,3
Up,RNB,3
Up,Sec1,3
Up,zf-RING_UBOX,3
Up,FXa_inhibition,3
Up,Proteasome,3
Up,IMPDH,3
Up,Reeler,3
Up,NTP_transferase,3
Up,MoCoBD_1,3
Up,Lysostaphin_N,3
Up,FKBP_C,3
Up,Sulfotransfer_2,3
Up,Beta-prop_ATRN-LZTR1,3
Up,EGF_PEAR1L,3
Up,RAI16-like,3
Up,DUF7043,3
Up,Beta-prop_RSE1_1st,3
Up,CHGN,3
Up,RH1,3
Up,Ndr,3
Up,RHD_DNA_bind,3
Up,Gln-synt_C,3
Up,TSP_1,3
Up,FragX_IP,3
Up,EB,3
Up,MBOAT,3
Up,Glyco_transf_10,3
