"gene_id","variance"
"MSTRG.24356",33.213099071784
"MSTRG.24357",10.5127193724815
"MSTRG.39523",9.56430377170443
"MSTRG.2050",8.72112746469977
"MSTRG.41674",8.4913765402504
"MSTRG.6971",8.34789750817788
"MSTRG.7320",8.06540866314624
"MSTRG.13336",7.42227585690034
"MSTRG.11852",7.28672402086855
"MSTRG.6972",7.18659157902603
"MSTRG.13724",6.79653289718584
"MSTRG.17721",6.64481481709553
"MSTRG.33082",6.54907397721271
"MSTRG.31385",6.54864515822652
"MSTRG.4753",6.52392974301302
"MSTRG.5907",6.05045287896186
"MSTRG.8890",6.01449390320566
"MSTRG.23341",5.86075235866711
"MSTRG.26118",5.79964084235815
"MSTRG.19997",5.48312189244548
"MSTRG.22152",5.47945951916321
"MSTRG.14178",5.47292244883817
"MSTRG.41673",5.44289669544968
"MSTRG.17348",5.41060148450727
"MSTRG.21895",5.20152151245362
"MSTRG.24864",5.03607926439138
"MSTRG.14013",5.00299266121033
"MSTRG.11840",4.97437963404312
"MSTRG.20245",4.95222221804063
"MSTRG.11851",4.94865099780784
"MSTRG.3181",4.90887811515634
"MSTRG.22919",4.87850140229351
"MSTRG.32631",4.87576835709271
"MSTRG.14882",4.84893300256962
"MSTRG.10841",4.84143098830848
"MSTRG.29511",4.76438417399228
"MSTRG.29132",4.75558168498907
"MSTRG.8313",4.74819028068265
"MSTRG.11691",4.62518404547371
"MSTRG.5906",4.60719113047035
"MSTRG.10976",4.54412666648139
"MSTRG.12317",4.5411126037916
"MSTRG.41289",4.53835877696531
"MSTRG.10178",4.53355190450903
"MSTRG.37591",4.4478861907434
"MSTRG.7869",4.44041883502472
"MSTRG.16107",4.43236480492666
"MSTRG.27515",4.40430034803003
"MSTRG.26944",4.28670675258441
"MSTRG.13021",4.28505983267152
