"gene_id","variance"
"MSTRG.24356",33.213099071784
"MSTRG.24357",10.5127193724815
"MSTRG.39523",9.56430377170443
"MSTRG.2050",8.72112746469977
"MSTRG.41674",8.4913765402504
"MSTRG.6971",8.34789750817788
"MSTRG.7320",8.06540866314624
"MSTRG.13336",7.42227585690034
"MSTRG.11852",7.28672402086855
"MSTRG.6972",7.18659157902603
"MSTRG.13724",6.79653289718584
"MSTRG.17721",6.64481481709553
"MSTRG.33082",6.54907397721271
"MSTRG.31385",6.54864515822651
"MSTRG.4753",6.52392974301301
"MSTRG.5907",6.05045287896186
"MSTRG.8890",6.01449390320567
"MSTRG.23341",5.86075235866711
"MSTRG.26118",5.79964084235814
"MSTRG.19997",5.48312189244548
"MSTRG.22152",5.4794595191632
"MSTRG.14178",5.47292244883817
"MSTRG.41673",5.44289669544968
"MSTRG.17348",5.41060148450727
"MSTRG.21895",5.20152151245362
"MSTRG.24864",5.03607926439138
"MSTRG.14013",5.00299266121033
"MSTRG.11840",4.97437963404312
"MSTRG.20245",4.95222221804062
"MSTRG.11851",4.94865099780784
"MSTRG.3181",4.90887811515635
"MSTRG.22919",4.87850140229351
"MSTRG.32631",4.87576835709271
"MSTRG.14882",4.84893300256962
"MSTRG.10841",4.84143098830848
"MSTRG.29511",4.76438417399228
"MSTRG.29132",4.75558168498907
"MSTRG.8313",4.74819028068265
"MSTRG.11691",4.62518404547371
"MSTRG.5906",4.60719113047035
"MSTRG.10976",4.54412666648139
"MSTRG.12317",4.5411126037916
"MSTRG.41289",4.53835877696531
"MSTRG.10178",4.53355190450903
"MSTRG.37591",4.4478861907434
"MSTRG.7869",4.44041883502472
"MSTRG.16107",4.43236480492666
"MSTRG.27515",4.40430034803003
"MSTRG.26944",4.28670675258441
"MSTRG.13021",4.28505983267152
"MSTRG.35480",4.24582349070674
"MSTRG.28591",4.21696263543949
"MSTRG.11579",4.21554496715996
"MSTRG.8889",4.19784275581176
"MSTRG.12318",4.16702337304408
"MSTRG.31404",4.16584838181867
"MSTRG.27414",4.14843085510419
"MSTRG.4905",4.14587097491177
"MSTRG.5664",4.14363515423811
"MSTRG.1404",4.13241819389537
"MSTRG.19808",4.12547555830853
"MSTRG.25873",4.1210000319572
"MSTRG.23190",4.04523501390059
"MSTRG.9348",4.03528483032659
"MSTRG.7318",3.97772388529833
"MSTRG.24652",3.94970790009072
"MSTRG.4834",3.94755776726583
"MSTRG.22537",3.92509714745218
"MSTRG.31397",3.91983227328448
"MSTRG.19860",3.91782639561854
"MSTRG.6204",3.91453153026003
"MSTRG.5809",3.87553361630404
"MSTRG.19204",3.86907134955897
"MSTRG.19897",3.86120177505863
"MSTRG.9085",3.85991612129748
"MSTRG.32533",3.8470643625146
"MSTRG.9819",3.83495850442739
"MSTRG.30659",3.8269571782916
"MSTRG.7693",3.79218737987972
"MSTRG.20049",3.77728269687145
"MSTRG.21127",3.76444416832841
"MSTRG.14011",3.75781515772894
"MSTRG.7692",3.74294875932504
"MSTRG.21611",3.72517433049213
"MSTRG.464",3.71650366545611
"MSTRG.5065",3.71352783207363
"MSTRG.18288",3.7107392011547
"MSTRG.15897",3.69510596967086
"MSTRG.22909",3.69015106345045
"MSTRG.20098",3.66838207064867
"MSTRG.32253",3.64717453389447
"MSTRG.7321",3.64679361538226
"MSTRG.12071",3.64435487082039
"MSTRG.31401",3.63294766546974
"MSTRG.32650",3.62818954310735
"MSTRG.14207",3.61294828880142
"MSTRG.20127",3.60766221112961
"MSTRG.24059",3.59766107263011
"MSTRG.22860",3.58979470170825
"MSTRG.3842",3.5751919710946
"MSTRG.40256",3.57108551416736
"MSTRG.25868",3.56593250780488
"MSTRG.37312",3.55304418485782
"MSTRG.38973",3.54146130974778
"MSTRG.15459",3.53007511740964
"MSTRG.16417",3.52076330933169
"MSTRG.13501",3.49355373439343
"MSTRG.15619",3.48385012251502
"MSTRG.40632",3.4775926519192
"MSTRG.31388",3.45831590958717
"MSTRG.38451",3.4519890194841
"MSTRG.5712",3.44654346627129
"MSTRG.1956",3.44283682459715
"MSTRG.6503",3.43956293687595
"MSTRG.1957",3.42588637972568
"MSTRG.5717",3.42286856098952
"MSTRG.16411",3.42086810809215
"MSTRG.18631",3.40379218560362
"MSTRG.4485",3.38877961278604
"MSTRG.10603",3.34767425622658
"MSTRG.12650",3.33753132025791
"MSTRG.18899",3.32848223395465
"MSTRG.22475",3.31918522698095
"MSTRG.25874",3.31561084423791
"MSTRG.21253",3.31209370549223
"MSTRG.25699",3.27427033151796
"MSTRG.23130",3.27064217391717
"MSTRG.38023",3.26380058702602
"MSTRG.23879",3.24212158436603
"MSTRG.23875",3.23854741450459
"MSTRG.133",3.23659218560826
"MSTRG.23441",3.23228801647194
"MSTRG.28263",3.2072242168363
"MSTRG.37759",3.20371405297444
"MSTRG.10975",3.20013396276726
"MSTRG.16106",3.1950522564977
"MSTRG.12175",3.19163485382959
"MSTRG.5616",3.18938416076764
"MSTRG.21897",3.18669833838472
"MSTRG.38481",3.18136859287665
"MSTRG.19811",3.17322750012008
"MSTRG.18897",3.15630474098191
"MSTRG.2030",3.15064144292102
"MSTRG.6019",3.14829565376499
"MSTRG.33942",3.14325542481012
"MSTRG.7416",3.12425801943441
"MSTRG.39644",3.12045955110113
"MSTRG.7336",3.10964288440966
"MSTRG.4120",3.10595884319509
"MSTRG.24100",3.1026608888296
"MSTRG.4119",3.08388647933534
"MSTRG.2566",3.08330717506617
"MSTRG.3956",3.07989749963395
"MSTRG.37026",3.07488709181048
"MSTRG.3098",3.06914075043869
"MSTRG.37539",3.06800558492466
"MSTRG.5364",3.0680053619362
"MSTRG.4068",3.06513151487331
"MSTRG.31165",3.05577269931752
"MSTRG.24653",3.02019719812431
"MSTRG.6020",3.0184373632948
"MSTRG.8591",3.00329027775789
"MSTRG.28613",3.00306636131853
"MSTRG.16410",2.99131225446547
"MSTRG.38898",2.97413914980746
"MSTRG.29323",2.9732716020654
"MSTRG.5715",2.96294990847277
"MSTRG.2136",2.9597212132818
"MSTRG.41066",2.95638038107622
"MSTRG.33867",2.95565140493748
"MSTRG.2349",2.95098137667989
"MSTRG.15215",2.95001672233585
"MSTRG.13277",2.91055544181859
"MSTRG.6718",2.90391171078432
"MSTRG.35907",2.90054274025984
"MSTRG.18622",2.89291621230661
"MSTRG.26463",2.87893174939554
"MSTRG.30057",2.87383741628051
"MSTRG.39514",2.86608108349774
"MSTRG.7337",2.85675840008107
"MSTRG.28278",2.84672801032047
"MSTRG.13019",2.84457047903484
"MSTRG.11212",2.84107331154743
"MSTRG.29184",2.83469386053641
"MSTRG.40075",2.83008390117444
"MSTRG.13018",2.82996835601275
"MSTRG.1076",2.82041546552344
"MSTRG.5561",2.81909013182647
"MSTRG.21103",2.80756517904045
"MSTRG.34561",2.80060695470409
"MSTRG.14879",2.79885458141324
"MSTRG.23885",2.79780770669882
"MSTRG.14409",2.79579616175502
"MSTRG.41286",2.79285320070808
"MSTRG.11384",2.78498974765299
"MSTRG.41855",2.77443242917193
"MSTRG.14578",2.77154838150756
"MSTRG.3841",2.75090034313558
"MSTRG.4736",2.73056881017307
"MSTRG.7676",2.72586375344421
"MSTRG.11169",2.72256051131131
"MSTRG.8005",2.7148615683942
"MSTRG.27979",2.70759757959139
"MSTRG.22297",2.70043285959977
"MSTRG.19766",2.69166378365721
"MSTRG.7019",2.68565108722302
"MSTRG.36923",2.68292246447035
"MSTRG.13002",2.6737612319407
"MSTRG.10463",2.67053045972757
"MSTRG.24367",2.66985423827775
"MSTRG.5362",2.66783074299239
"MSTRG.5665",2.66309034022715
"MSTRG.37035",2.65954546556067
"MSTRG.20653",2.65737326737836
"MSTRG.13036",2.65363715347985
"MSTRG.5544",2.6442960100705
"MSTRG.30305",2.64398464078324
"MSTRG.35134",2.64257515734944
"MSTRG.32017",2.64102119361576
"MSTRG.18946",2.63666786215673
"MSTRG.5159",2.63077674219156
"MSTRG.41472",2.62435630165647
"MSTRG.3949",2.62350672511762
"MSTRG.25051",2.62096823754051
"MSTRG.28696",2.62072146287433
"MSTRG.827",2.61712245593715
"MSTRG.35373",2.61095046665126
"MSTRG.3482",2.598055018117
"MSTRG.33247",2.5901381098369
"MSTRG.26336",2.58914889031835
"MSTRG.2505",2.58735832987822
"MSTRG.2144",2.5843064731604
"MSTRG.19723",2.57972433208017
"MSTRG.26117",2.57188940041452
"MSTRG.11446",2.56755903800461
"MSTRG.31403",2.56325046966175
"MSTRG.10243",2.55890408681973
"MSTRG.8010",2.54515322187599
"MSTRG.26447",2.5429768282903
"MSTRG.14852",2.54164855736706
"MSTRG.6199",2.54137857023111
"MSTRG.36259",2.53926427140566
"MSTRG.22828",2.5235535678005
"MSTRG.39856",2.51752123628104
"MSTRG.6929",2.50996595573789
"MSTRG.27317",2.50511705105621
"MSTRG.8737",2.50220040679676
"MSTRG.21898",2.48924695657064
"MSTRG.26215",2.48885387907137
"MSTRG.1463",2.48259491874267
"MSTRG.41314",2.4734986872107
"MSTRG.15585",2.46645766865816
"MSTRG.5560",2.46493656638733
"MSTRG.3957",2.46275269664844
"MSTRG.11477",2.45789820961787
