"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"6_month_vs_3_month","GO","GO:0022857",151,20205,245,41599,2.5561692372684e-05,0.0538073624444999
"6_month_vs_3_month","GO","GO:0006275",25,20205,30,41599,8.90797518334771e-05,0.0937564388047347
"6_month_vs_3_month","GO","GO:0003993",47,20205,69,41599,0.000803285349882967,0.495568890748176
"6_month_vs_3_month","GO","GO:0004930",182,20205,317,41599,0.000941698604747128,0.495568890748176
"6_month_vs_3_month","GO","GO:0005230",25,20205,33,41599,0.00134724625720092,0.567190674281586
"6_month_vs_3_month","GO","GO:0015276",27,20205,37,41599,0.00224446028480764,0.671555557367605
"6_month_vs_3_month","GO","GO:0007186",204,20205,364,41599,0.00244967412526084,0.671555557367605
"6_month_vs_3_month","GO","GO:0016020",1085,20205,2104,41599,0.00255223014676525,0.671555557367605
"6_month_vs_3_month","GO","GO:0055085",260,20205,476,41599,0.00451868625451946,0.791279931820355
"6_month_vs_3_month","GO","GO:0031012",31,20205,45,41599,0.00467357906576215,0.791279931820355
"6_month_vs_3_month","GO","GO:0005537",12,20205,14,41599,0.00478703331320729,0.791279931820355
"6_month_vs_3_month","GO","GO:0007041",12,20205,14,41599,0.00478703331320729,0.791279931820355
"6_month_vs_3_month","GO","GO:0038023",19,20205,25,41599,0.00488676442454376,0.791279931820355
"6_month_vs_3_month","GO","GO:0005092",7,20205,7,41599,0.00637381669301138,0.958348867056354
"6_month_vs_3_month","GO","GO:0004672",162,20205,292,41599,0.0103873988822768,1
"6_month_vs_3_month","GO","GO:0000070",6,20205,6,41599,0.0131247169519492,1
"6_month_vs_3_month","GO","GO:0007156",24,20205,35,41599,0.013426463973735,1
"6_month_vs_3_month","GO","GO:0030570",8,20205,9,41599,0.0158326659711446,1
"6_month_vs_3_month","GO","GO:0030154",9,20205,11,41599,0.0263594269643097,1
"6_month_vs_3_month","GO","GO:0043539",9,20205,11,41599,0.0263594269643097,1
"6_month_vs_3_month","GO","GO:0052031",5,20205,5,41599,0.0270252216286819,1
"6_month_vs_3_month","GO","GO:0000139",12,20205,16,41599,0.0297662433526253,1
"6_month_vs_3_month","GO","GO:0006811",89,20205,158,41599,0.0303459086213182,1
"6_month_vs_3_month","GO","GO:0140359",39,20205,64,41599,0.0315252743158212,1
"6_month_vs_3_month","GO","GO:0071949",24,20205,37,41599,0.033979808161569,1
"6_month_vs_3_month","GO","GO:0004559",13,20205,18,41599,0.0371126816815689,1
"6_month_vs_3_month","GO","GO:0006013",13,20205,18,41599,0.0371126816815689,1
"6_month_vs_3_month","GO","GO:0009288",17,20205,25,41599,0.0398736198476802,1
"6_month_vs_3_month","GO","GO:0030117",39,20205,65,41599,0.0424538999302776,1
"6_month_vs_3_month","GO","GO:0050660",30,20205,49,41599,0.0512786364626511,1
"6_month_vs_3_month","GO","GO:0034599",6,20205,7,41599,0.0536301185055762,1
"6_month_vs_3_month","GO","GO:0007030",25,20205,40,41599,0.0539095355941111,1
"6_month_vs_3_month","GO","GO:0000921",20,20205,31,41599,0.0546700041703813,1
"6_month_vs_3_month","GO","GO:0005940",20,20205,31,41599,0.0546700041703813,1
"6_month_vs_3_month","GO","GO:0000176",4,20205,4,41599,0.0556464577815467,1
"6_month_vs_3_month","GO","GO:0004797",4,20205,4,41599,0.0556464577815467,1
"6_month_vs_3_month","GO","GO:0008201",4,20205,4,41599,0.0556464577815467,1
"6_month_vs_3_month","GO","GO:0042626",4,20205,4,41599,0.0556464577815467,1
"6_month_vs_3_month","GO","GO:1901222",4,20205,4,41599,0.0556464577815467,1
